True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2148,7.515151515,1.101694915,2.761904762,0.333333333,6,7.653061224,4,1.5,0.674846626,42.21263168
,2149,8.393939394,0.762711864,2.285714286,0,7.739130435,5.795918367,4.853658537,3,0.736196319,29.61687626
,2150,7.96969697,1.271186441,2.642857143,1.5,6.086956522,5.285714286,5.780487805,2.5,1.349693252,27.0636826
,2151,8.484848485,0.677966102,2.357142857,3.5,4.043478261,5.265306122,6.585365854,2.5,0.674846626,34.55305068
,2152,9.484848485,0.677966102,1.666666667,2.333333333,4.608695652,4.87755102,6.341463415,1.5,1.104294479,28.25517298
,2153,8.909090909,1.016949153,1.761904762,0.166666667,7.391304348,5.346938776,5.146341463,3.5,1.349693252,51.91476758
,2154,9.696969697,0.169491525,1.523809524,2,2.565217391,6.632653061,5.56097561,2.5,1.288343558,30.63815374
,2155,8.242424242,1.101694915,2.642857143,2.333333333,5.608695652,5.428571429,5.414634146,2,1.104294479,34.38283778
,2156,7.96969697,1.101694915,2.5,1.666666667,5.782608696,5.673469388,5.804878049,3,1.042944785,27.57432134
,2157,7.757575758,0.93220339,3.071428571,2,6.086956522,5.632653061,5,3,1.533742331,29.78708918
,2158,7.878787879,1.101694915,2.928571429,2.333333333,4.913043478,5.367346939,6.024390244,1.5,1.165644172,33.87219904
,2159,9.303030303,0.508474576,1.380952381,2.333333333,4.086956522,5.530612245,6.682926829,3,0.981595092,38.46794764
,2160,8.606060606,0.93220339,2.30952381,1.5,5.956521739,5.469387755,5.341463415,2.5,1.165644172,36.4253927
,2161,8.272727273,1.016949153,2.30952381,1.5,6.086956522,5.87755102,5.195121951,3,1.472392638,38.97858636
,2162,8.545454545,0.93220339,2.404761905,1.333333333,5.956521739,5.244897959,5.487804878,2.5,1.349693252,41.36156712
,2163,8.575757576,0.762711864,2.761904762,2.666666667,5,5.857142857,4.536585366,3,1.226993865,35.91475398
,2164,8.121212121,1.101694915,2.595238095,2.5,6.043478261,5.591836735,5.12195122,3,1.411042945,31.14879246
,2165,8.666666667,0.423728814,2.5,1.666666667,5.043478261,6.183673469,4.780487805,2,1.717791411,26.04240514
,2166,8.606060606,0.508474576,2.261904762,3.666666667,3.739130435,6,5.87804878,2,0.858895706,30.97857956
,2167,8.181818182,1.101694915,2.452380952,1.666666667,5.695652174,5.775510204,5.487804878,2,1.104294479,28.08496008
,2168,8.242424242,1.186440678,2.5,1.166666667,6.304347826,5.183673469,5.682926829,3.5,0.920245399,29.10623754
,2169,7.151515152,1.525423729,3.19047619,1.5,6.347826087,5.836734694,5.292682927,3,1.165644172,28.08496008
,2170,8,0.93220339,2.19047619,0.833333333,6.956521739,6.673469388,4.487804878,3.5,1.595092025,22.1275082
,2171,8.212121212,1.101694915,1.952380952,0.666666667,7.956521739,5.285714286,5.585365854,3.5,1.226993865,38.63816054
,2172,8.212121212,0.93220339,2.19047619,1.166666667,6.652173913,6.326530612,4.707317073,3,1.226993865,15.31899176
,2173,7.909090909,0.93220339,2.30952381,1,7.086956522,6.244897959,4.902439024,3.5,1.226993865,16.34026923
,2174,7.787878788,1.271186441,2.380952381,0.166666667,7.913043478,5.897959184,4.87804878,4,1.472392638,20.42537908
,2175,8.121212121,1.101694915,2.119047619,0,7.52173913,6.285714286,4.609756098,4,1.165644172,33.3615603
,2176,8.181818182,0.423728814,2.166666667,1.166666667,6.565217391,5.918367347,5.56097561,3.5,1.226993865,22.97857274
,2177,8.363636364,0.677966102,2.047619048,1,7.695652174,5.551020408,5.268292683,3,1.288343558,18.21261124
,2178,8,1.186440678,2.166666667,0.166666667,7.434782609,6.571428571,4.390243902,1.5,1.533742331,18.04239833
,2179,8.515151515,1.016949153,1.714285714,0.166666667,7.782608696,5.857142857,5.12195122,4,1.226993865,25.53176642
,2180,8.393939394,0.93220339,1.69047619,0.833333333,6.086956522,6.408163265,5.341463415,2,2.331288344,20.7658049
,2181,7.909090909,1.016949153,2.166666667,1,7.391304348,6.367346939,4.682926829,3.5,1.411042945,31.82964412
